"Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Date","Result","How out","Fielder","Bowler"
"139","192","126","12","3","110.31","4","not out","2","v Sri Lanka","Ranchi","16-Nov-14","W","not out","",""
"107","168","126","8","0","84.92","3","caught","1","v Pakistan","Adelaide","15-Feb-15","W","caught","Umar Akmal","Sohail Khan"
"46","106","60","3","0","76.66","3","caught","1","v South Africa","Melbourne","22-Feb-15","W","caught","F du Plessis","Imran Tahir"
"33","49","41","5","0","80.48","3","not out","2","v U.A.E.","Perth","28-Feb-15","W","not out","",""
"33","51","36","5","0","91.66","3","caught","2","v West Indies","Perth","6-Mar-15","W","caught","MN Samuels","AD Russell"
"44","64","42","4","1","104.76","3","not out","2","v Ireland","Hamilton","10-Mar-15","W","not out","",""
"38","71","48","4","0","79.16","3","bowled","2","v Zimbabwe","Auckland","14-Mar-15","W","bowled","","Sikandar Raza"
"3","6","8","0","0","37.5","3","caught","1","v Bangladesh","Melbourne","19-Mar-15","W","caught","Mushfiqur Rahim","Rubel Hossain"
"25","55","35","1","0","71.42","3","bowled","1","v Bangladesh","Dhaka","24-Jun-15","W","bowled","","Shakib Al Hasan"
"12","24","18","0","0","66.66","4","run out","1","v South Africa","Indore","14-Oct-15","W","run out","",""
"138","202","140","6","5","98.57","3","caught","1","v South Africa","Chennai","22-Oct-15","W","caught","Q de Kock","K Rabada"
"8","11","11","1","0","72.72","3","caught","2","v Australia","Sydney","23-Jan-16","W","caught","MS Wade","JW Hastings"
"85","109","81","9","1","104.93","3","not out","2","v New Zealand","Dharamsala","16-Oct-16","W","not out","",""
"154","202","134","16","1","114.92","3","not out","2","v New Zealand","Mohali","23-Oct-16","W","not out","",""
"65","152","76","2","1","85.52","3","caught","1","v New Zealand","Visakhapatnam","29-Oct-16","W","caught","MJ Guptill","IS Sodhi"
"122","147","105","8","5","116.19","3","caught","2","v England","Pune","15-Jan-17","W","caught","DJ Willey","BA Stokes"
